titulo,data,descricao,categoria,descricaoRaw,matches,resultadoCount,resultadoJaccard,resultadoTfIdf
Bolsonaro é intimado pela PF para depor em caso de discussão sobre golpe com empresários,22/08/2023 - 19:37,"['ex-presid', 'repúbl', 'jair', 'bolsonar', 'pl', 'intim', 'políci', 'feder', 'pf', 'nov', 'dest', 'vez', 'convoc', 'prest', 'depo', 'investig', 'sobr', 'cas', 'empres', 'discut', 'golp', 'est', 'mens', 'whatsapp', 'oitiv', 'prev', '31', 'agost']",economia,"O ex-presidente da República Jair Bolsonaro (PL) foi intimado pela Polícia Federal (PF) novamente. Desta vez, a convocação é para ele prestar depoimento na investigação sobre o caso de empresários que discutiram golpe de Estado em mensagens de WhatsApp. A oitiva está prevista para 31 de agosto.",[],economia,economia,economia
Por que a tradicional cor dos ônibus de Joinville vai mudar,22/08/2023 - 19:31,"['cor', 'amarel', 'ônibu', 'joinvill', 'modific', 'independ', 'vitori', 'licit', 'transport', 'cole', 'lanç', 'fever', '2024', 'prefeit', 'pretend', 'utiliz', 'tom', 'bande', 'joinvill', 'escolh', 'layout', 'ônibu', 'futur', 'contrat', 'transport', 'cole', 'feit', 'mei', 'pesquis', 'junt', 'popul', 'consult', 'dev', 'feit', 'aind', 'nest', 'ano']",outros,"A cor amarela dos ônibus de Joinville será modificada, independentemente de quem seja vitorioso na licitação do transporte coletivo, a ser lançada até fevereiro de 2024. A prefeitura pretende utilizar tons da bandeira de Joinville. A escolha dos layouts dos ônibus, no futuro contrato do transporte coletivo, será feita por meio de pesquisa junto à população. A consulta deve ser feita ainda neste ano.",[],economia,economia,economia
Mulheres serão maioria dos palestrantes no Startup Summit 2023,22/08/2023 - 19:00,"['nest', 'quarta-f', 'part', '13h', 'abr', 'centrosul', 'startup', 'summit', '2023', 'fat', 'nov', 'event', 'prim', 'vez', 'númer', 'mai', 'mulh', 'palestr', '70', 'particip', 'feminin', 'palestr', 'talk', 'ment', 'obje', 'incentiv', 'mai', 'particip', 'feminin', 'empreendedor', 'profiss', 'áre']",outros,"Nesta quarta-feira, a partir das 13h, abre no Centrosul o Startup Summit 2023. Um dos fatos novos do evento é que pela primeira vez, terá um número maior de mulheres entre os palestrantes. Serão mais de 70 participações femininas entre palestras, talks e mentorias, com o objetivo de incentivar maior participação feminina no empreendedorismo ou como profissionais da área.",[],economia,turismo,economia
Veja como utilizar o azul na decoração,22/08/2023 - 19:00,"['divers', 'tom', 'signific', 'possibil', 'assim', 'process', 'decor', 'utiliz', 'azul', 'cor', 'conhec', 'transmit', 'tranquil', 'seren', 'proporc', 'sens', 'calm', 'log', 'prim', 'vist', 'remet', 'mar', 'céu', 'natur', 'influ', 'tão', 'posi', 'traz', 'dentr', 'cas', 'sens', 'fresc']",outros,"Diversos tons, significados e possibilidades. Assim é o processo de decoração que utiliza o azul. Essa cor, conhecida por transmitir tranquilidade e serenidade, proporciona uma sensação de calma logo à primeira vista. Remete ao mar, ao céu e à natureza e, por isso, tem essa influência tão positiva: traz para dentro de casa a sensação de frescor.",[],turismo,turismo,turismo
Quais os critérios para definir vencedor da licitação do ônibus em Joinville,22/08/2023 - 18:55,"['princip', 'critéri', 'escolh', 'empr', 'consórci', 'venc', 'licit', 'transport', 'cole', 'joinvill', 'val', 'tarif', 'lev', 'oferec', 'men', 'val', 'pass', 'desd', 'comprov', 'viabil', 'propost', 'necess', 'pag', 'outorg', 'prefeit', 'quest', 'cruc', 'concorr', 'porqu', 'vincul', 'dív', 'municípi', 'atual', 'empr', '–', 'previs', 'edit', 'determin', 'justiç', 'possibil', 'recurs', 'edit', 'licit', 'dev', 'lanç', 'fever', '2024', 'prefeit', 'apresent', 'nov', 'model', 'nest', 'terça-f', 'prim', 'licit', 'transport', 'cole', 'joinvill']",economia,"O principal critério para a escolha da empresa ou consórcio vencedor da licitação do transporte coletivo de Joinville será o valor da tarifa: leva quem oferecer o menor valor da passagem, desde que comprove a viabilidade da proposta. Também há necessidade de pagamento de outorga à prefeitura, uma das questões cruciais da concorrência porque há vinculação com a dívida do município com as atuais empresas – essa previsão no edital foi determinada pela Justiça, sem mais possibilidades de recursos. O edital de licitação deve ser lançado até fevereiro de 2024. A prefeitura apresentou o novo modelo nesta terça-feira. Será a primeira licitação do transporte coletivo de Joinville.",[],economia,economia,economia
ATL DAY: Fim de semana tem show gratuito do Dazaranha em Criciúma,22/08/2023 - 14:21,"['assunt', 'divers', 'tod', 'famíl', 'pod', 'cont', 'rádi', 'atlânt', 'melhor', 'vib', 'fm', 'traz', 'criciúm', 'sáb', '2', 'setembr', 'dia', 'reg', 'músic', 'gastronom', 'art', 'line-up', 'cont', 'show', 'band', 'dazaranh', 'nov', 'atr', 'anunci', 'brev', 'event', 'entr', 'gratuit', 'acontec', '11h', '22h', 'parqu', 'municip', 'prefeit', 'alta', 'guid']",turismo,"Quando o assunto é diversão para toda a família, pode contar com a Rádio Atlântida. A melhor vibe do FM traz para Criciúma no sábado, 2 de setembro, um dia regado a música, gastronomia e arte . O line-up já conta com o show da banda Dazaranha, mas novas atrações serão anunciadas em breve. O evento com entrada gratuita acontece das 11h às 22h no Parque Municipal Prefeito Altair Guidi.   ",[],turismo,turismo,turismo
Insuficiência cardíaca: entenda a condição e as opções de tratamento,22/08/2023 - 18:30,"['intern', 'iníci', 'agost', 'dev', 'insufici', 'card', 'apresent', 'faust', 'silv', 'após', 'pior', 'quadr', 'agor', 'aguard', 'fil', 'transpl', 'coraçã', 'segund', 'inform', 'divulg', 'hospit', 'israelit', 'albert', 'einstein', 'doming', '20', 'situ', 'faust', 'levant', 'séri', 'dúv', 'sobr', 'cond', 'afet', 'cerc', '3', 'milhã', 'brasil', 'acord', 'sociedad', 'brasil', 'cardiolog']",saude,"Internado no início de agosto devido a uma insuficiência cardíaca, o apresentador Fausto Silva, após uma piora no quadro, agora aguarda na fila para um transplante de coração, segundo informações divulgadas pelo Hospital Israelita Albert Einstein no domingo (20). A situação de Faustão levantou uma série de dúvidas sobre a condição, que afeta cerca de 3 milhões de brasileiros, de acordo com a Sociedade Brasileira de Cardiologia.",[],saude,saude,saude
"Joinville planeja transporte para deficientes com vans, carros e viagens agendadas pelo celular",22/08/2023 - 18:22,"['prefeit', 'joinvill', 'planej', 'adicion', 'vam', 'carr', 'transport', 'efici', 'respons', 'locomov', 'pesso', 'defici', 'pcd', 'cidad', 'propost', 'dev', 'coloc', 'prát', 'lanç', 'edit', 'licit', 'transport', 'cole', 'previst', 'fever', '2024']",saude,"A prefeitura de Joinville planeja adicionar vans e carros para o transporte eficiente, responsável por locomover Pessoa com Deficiência (PcD) na cidade. A proposta deve ser colocada em prática com o lançamento do edital para a licitação do transporte coletivo, previsto para fevereiro de 2024.",[],economia,economia,turismo
O que pode acontecer se o jogador chutar a bandeirinha de escanteio a partir de agora,22/08/2023 - 17:51,"['chef', 'arbitr', 'confeder', 'brasil', 'futebol', 'cbf', 'wilson', 'senem', 'explic', 'entrev', 'proced', 'indic', 'árbitr', 'cas', 'jog', 'chut', 'bande', 'escantei', 'dur', 'comemor', 'gol']",esporte,"O chefe de arbitragem da Confederação Brasileira de Futebol (CBF), Wilson Seneme, explicou em entrevista qual é o procedimento indicado aos árbitros, em caso dos jogadores chutarem a bandeirinha de escanteio durante a comemoração de um gol.",[],esporte,esporte,esporte
MPF pede revogação de decreto que proíbe indígenas de falarem na língua materna em cidade de SC,22/08/2023 - 17:39,"['minist', 'públic', 'feder', 'através', 'procur', 'repúbl', 'blumenau', 'deu', 'praz', 'quatr', 'dia', 'prefeit', 'josé', 'boiteux', 'ada', 'antoni', 'stollmei', 'revog', 'alt', 'decret', 'determin', 'soment', 'língu', 'portugu', 'fal', 'repart', 'públic', 'municip', 'conform', 'procur', 'lucy', 'marin', 'pep', 'affons', 'obje', 'evit', 'emb', 'serv', 'indígen', 'dialog', 'si', 'língu', 'matern', 'sempr', 'assim', 'desej', 'entend', 'necess', 'trat', 'reun', 'instituc']",economia,"O Ministério Público Federal, através da Procuradora da República em Blumenau, deu prazo de quatro dias para que o prefeito de José Boiteux, Adair Antonio Stollmeier, revogue ou altere o decreto em que determina que somente a língua portuguesa seja falada nas repartições públicas municipais. Conforme a procuradora Lucyana Marina Pepe Affonso, o objetivo é evitar embaraços para que servidores indígenas dialoguem entre si em sua língua materna, sempre que assim desejarem ou entenderem necessário, mesmo que se trate de reuniões institucionais.",[],economia,economia,saude
