Número;Matéria;Resultado Count;Resultado Jaccard;Resultado TF-IDF;Categoria Real
1;O ex-presidente da República Jair Bolsonaro (PL) foi intimado pela Polícia Federal (PF) novamente. Desta vez, a convocação é para ele prestar depoimento na investigação sobre o caso de empresários que discutiram golpe de Estado em mensagens de WhatsApp. A oitiva está prevista para 31 de agosto.;economia;economia;economia;economia
2;A cor amarela dos ônibus de Joinville será modificada, independentemente de quem seja vitorioso na licitação do transporte coletivo, a ser lançada até fevereiro de 2024. A prefeitura pretende utilizar tons da bandeira de Joinville. A escolha dos layouts dos ônibus, no futuro contrato do transporte coletivo, será feita por meio de pesquisa junto à população. A consulta deve ser feita ainda neste ano.;economia;economia;economia;outros
3;Nesta quarta-feira, a partir das 13h, abre no Centrosul o Startup Summit 2023. Um dos fatos novos do evento é que pela primeira vez, terá um número maior de mulheres entre os palestrantes. Serão mais de 70 participações femininas entre palestras, talks e mentorias, com o objetivo de incentivar maior participação feminina no empreendedorismo ou como profissionais da área.;economia;turismo;economia;outros
4;Diversos tons, significados e possibilidades. Assim é o processo de decoração que utiliza o azul. Essa cor, conhecida por transmitir tranquilidade e serenidade, proporciona uma sensação de calma logo à primeira vista. Remete ao mar, ao céu e à natureza e, por isso, tem essa influência tão positiva: traz para dentro de casa a sensação de frescor.;turismo;turismo;turismo;outros
5;O principal critério para a escolha da empresa ou consórcio vencedor da licitação do transporte coletivo de Joinville será o valor da tarifa: leva quem oferecer o menor valor da passagem, desde que comprove a viabilidade da proposta. Também há necessidade de pagamento de outorga à prefeitura, uma das questões cruciais da concorrência porque há vinculação com a dívida do município com as atuais empresas – essa previsão no edital foi determinada pela Justiça, sem mais possibilidades de recursos. O edital de licitação deve ser lançado até fevereiro de 2024. A prefeitura apresentou o novo modelo nesta terça-feira. Será a primeira licitação do transporte coletivo de Joinville.;economia;economia;economia;economia
6;Quando o assunto é diversão para toda a família, pode contar com a Rádio Atlântida. A melhor vibe do FM traz para Criciúma no sábado, 2 de setembro, um dia regado a música, gastronomia e arte . O line-up já conta com o show da banda Dazaranha, mas novas atrações serão anunciadas em breve. O evento com entrada gratuita acontece das 11h às 22h no Parque Municipal Prefeito Altair Guidi. ;turismo;turismo;turismo;turismo
7;Internado no início de agosto devido a uma insuficiência cardíaca, o apresentador Fausto Silva, após uma piora no quadro, agora aguarda na fila para um transplante de coração, segundo informações divulgadas pelo Hospital Israelita Albert Einstein no domingo (20). A situação de Faustão levantou uma série de dúvidas sobre a condição, que afeta cerca de 3 milhões de brasileiros, de acordo com a Sociedade Brasileira de Cardiologia.;saude;saude;saude;saude
8;A prefeitura de Joinville planeja adicionar vans e carros para o transporte eficiente, responsável por locomover Pessoa com Deficiência (PcD) na cidade. A proposta deve ser colocada em prática com o lançamento do edital para a licitação do transporte coletivo, previsto para fevereiro de 2024.;economia;economia;turismo;saude
9;O chefe de arbitragem da Confederação Brasileira de Futebol (CBF), Wilson Seneme, explicou em entrevista qual é o procedimento indicado aos árbitros, em caso dos jogadores chutarem a bandeirinha de escanteio durante a comemoração de um gol.;esporte;esporte;esporte;esporte
10;O Ministério Público Federal, através da Procuradora da República em Blumenau, deu prazo de quatro dias para que o prefeito de José Boiteux, Adair Antonio Stollmeier, revogue ou altere o decreto em que determina que somente a língua portuguesa seja falada nas repartições públicas municipais. Conforme a procuradora Lucyana Marina Pepe Affonso, o objetivo é evitar embaraços para que servidores indígenas dialoguem entre si em sua língua materna, sempre que assim desejarem ou entenderem necessário, mesmo que se trate de reuniões institucionais.;economia;economia;saude;economia
